ID,Location,Name,Category,Price,Rooms,Baths,Measurement,Type,Condition,Wages
37,"Punta Pacifica, San francisco",Punta Roca,Sale,1000000,4,4,526,Apartment,1,3645
38,"Punta Pacifica, San francisco",COSTA PACIFICA T100,Sale,290000,2,2,242,Apartment,2,9775
39,"Punta Pacifica, San francisco",OASIS,Sale,210000,2,1,99,Apartment,2,8389
40,"Punta Pacifica, San francisco",AQUALINA,Sale,720000,4,4,408,Apartment,1,4506
41,"Punta Pacifica, San francisco",COSTA PACIFICA T100,Sale,249000,3,2,242,Apartment,2,5546
42,"Punta Pacifica, San francisco",BLUE BAHIA,Sale,895000,4,5,126,Apartment,1,6884
43,"Punta Pacifica, San francisco",BLUE BAHIA,Rental,579000,3,3,126,Apartment,1,6861
44,"Punta Pacifica, San francisco",DUPONT TOWER,Rental,379000,2,2,126,Apartment,2,2661
45,"Punta Pacifica, San francisco",OCEANAIRE,Rental,290000,2,2,155,Apartment,2,5093
46,"Punta Pacifica, San francisco",PH Oceanaire,Sale,330000,2,2,178,Apartment,2,8930
47,"Punta Pacifica, San francisco",SEMI-AMOBLADO + DEPÓSITO DE 11 METROS,Sale,277000,2,1,99,Apartment,1,3213
48,"Punta Pacifica, San francisco",AQUALINA,Rental,636000,3,3,328,Apartment,1,8756
49,"Punta Pacifica, San francisco",COSTA PACIFICA T100,Rental,410000,3,2,242,Apartment,1,5191
50,"Punta Pacifica, San francisco",COSTA PACIFICA T400,Rental,385000,3,3,199,Apartment,2,8419
51,"Punta Pacifica, San francisco","BLUE BAHIA, Distinguido ! Impecable !",Sale,599000,3,3,279,Apartment,1,2620
52,"Punta Pacifica, San francisco",PACIFIC STAR,Rental,300000,3,3,180,Apartment,2,4179
53,"Punta Pacifica, San francisco",PACIFIC POINT TORRE 300,Sale,570000,3,3,306,Apartment,1,9089
54,"Punta Pacifica, San francisco",OCEANAIRE,Rental,840000,2,2,321,Apartment,1,3114
55,"Punta Pacifica, San francisco",OCEAN PARK TORRE 1,Sale,550000,3,3,259,Apartment,1,5767
56,"Punta Pacifica, San francisco",LOFT FOUR 41,Sale,540000,2,1,483,Apartment,1,3582
57,"Punta Pacifica, San francisco",OCEAN DRIVE,Sale,430000,3,3,222,Apartment,1,3995
58,"Punta Pacifica, San francisco",COSTA PACIFICA T400,Rental,360000,3,3,199,Apartment,1,3336
59,"Punta Pacifica, San francisco",OCEAN DRIVE,Sale,460000,3,3,460,Apartment,1,7984
60,"Punta Pacifica, San francisco",OASIS ON THE BAY,Rental,220000,2,1,99,Apartment,2,8482
61,"Punta Pacifica, San francisco",COSTA PACIFICA TORRE T100,Sale,240000,3,3,126,Apartment,2,6077
