area_type,availability,location,size,society,total_sqft,bath,room,price
Built-up Area,Rental,Costa del Este,3 BHK,Costa Serena,4973,4,4,880000
Plot Area,Sale,Costa del Este,2 BHK,OCEAN ONE,3552,4,4,620000
Super built-up Area,Sale,Costa del Este,4 Bedroom,Green Bay III 22B,1227,2,3,165000
Built-up Area,Sale,Costa del Este,3 BHK,COSTA SERENA,3875,3,3,850000
Plot Area,Sale,Costa del Este,2 BHK,COSTA BAY,4456,3,3,790000
Super built-up Area,Sale,Costa del Este,4 Bedroom,RIVERSIDE,1087,2,1,294000
Built-up Area,Sale,Costa del Este,3 BHK,BALMORAL,8256,4,4,2500000
Plot Area,Sale,Costa del Este,2 BHK,CAMELIAS,7050,3,3,1500000
Super built-up Area,Sale,Costa del Este,4 Bedroom,BEGONIAS,9688,6,6,1750000
Built-up Area,Rental,Costa del Este,3 BHK,PH ALTAMAR DEL ESTE,3412,3,3,699000
Plot Area,Rental,Costa del Este,2 BHK,PH RIVERSIDE EN Rental O Sale,1130,2,1,340000
Super built-up Area,Sale,Costa del Este,4 Bedroom,COSTA BELLA RESIDENCIA EN Sale,3875,4,3,740000
Built-up Area,Sale,Costa del Este,3 BHK,MAREA II,7728,4,4,2000000
Plot Area,Rental,Costa del Este,2 BHK,PH VITRI TOWER,5651,4,4,1300000
Super built-up Area,Rental,Costa del Este,4 Bedroom,SOHO TOWER IMPECABLE,2228,3,3,450000
Built-up Area,Rental,Costa del Este,3 BHK,COUNTRY CLUB,2196,3,3,370000
Plot Area,Sale,Costa del Este,2 BHK,PH SEVILLA T0RRE 1000,1184,2,2,239000
Super built-up Area,Sale,Costa del Este,4 Bedroom,TORRE ZEUS,4004,3,3,706200
Built-up Area,Sale,Costa del Este,3 BHK,COSTA SERENA,5597,5,5,1050000
Plot Area,Sale,Costa del Este,2 BHK,PARQUE DEL MAR I,2174,3,3,365000
Super built-up Area,Sale,Costa del Este,4 Bedroom,TOSCANA DEL ESTE,5382,4,4,1800000
Built-up Area,Rental,Costa del Este,3 BHK,ROYAL PACIFIC,6189,4,5,1350000
Plot Area,Sale,Costa del Este,2 BHK,OCEAN TWO,4413,4,4,875000
Super built-up Area,Sale,Costa del Este,4 Bedroom,PH Breeze,2562,3,3,450000
Built-up Area,Rental,Costa del Este,3 BHK,PH MAREA,6738,4,4,1785000
Plot Area,Sale,Costa del Este,2 BHK,OCEAN TWO,4467,3,3,749000
Super built-up Area,Rental,Costa del Este,4 Bedroom,Sol del Este 19A,1582,3,3,260000
Built-up Area,Sale,Costa del Este,3 BHK,PH MAREA,6738,4,4,1550000
Plot Area,Sale,Costa del Este,2 BHK,PH PARQUE DEL MAR LINDA VISTA AL PARQUE,2174,3,3,359900
Super built-up Area,Sale,Costa del Este,4 Bedroom,OCEAN TWO,3261,3,3,675000
Built-up Area,Rental,Costa del Este,3 BHK,PANAMA BAY TOWER,3638,3,3,660000
Plot Area,Rental,Costa del Este,2 BHK,VITRI TOWER,3961,3,3,956228
Super built-up Area,Sale,Costa del Este,4 Bedroom,GREEN BAY COSTA DEL ESTE,1345,2,3,180000
Built-up Area,Rental,Costa del Este,3 BHK,Ocean Two,3261,3,3,625000
Plot Area,Rental,Costa del Este,2 BHK,Riverside,1528,2,2,330000
Super built-up Area,Sale,Costa del Este,4 Bedroom,Penthouse Breeze Costa del Este,4768,5,4,1200000
Built-up Area,Sale,Costa del Este,3 BHK,TEN TOWER,4650,3,3,895000
Plot Area,Sale,Costa del Este,2 BHK,Casa,3369,3,3,700000
Super built-up Area,Rental,Costa del Este,4 Bedroom,Parque del Mar,2174,3,3,380000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,PH – Pearl At The Sea,3132,3,3,695000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,PARKSIDE,1033,1,1,300000
Super built-up Area,Rental,"Costa del Este,Juan Díaz",4 Bedroom,Sevilla,1184,2,2,220000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,LATITUDE,2260,3,3,485000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,PH TITANIUM,2433,3,3,475000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,Royal Pacific,6039,4,4,1350000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,MURANO,3122,3,3,700000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,TEN TOWER,4564,3,3,925000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,TOSCANA DEL ESTE,6997,4,4,2200000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,BALMORAL,9149,8,5,3200000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,THE REGENT COUNTRY CLUB,1141,2,2,315000
